Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H5,2018,2018,2018,2,0,1,Import,32,Argentina,ARG,203,Czechia,CZE,01,Animals; live,1,No Quantity,0,0,9703,0
H5,2018,2018,2018,2,0,1,Import,32,Argentina,ARG,251,France,FRA,01,Animals; live,1,No Quantity,0,0,162245,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,251,France,FRA,01,Animals; live,1,No Quantity,0,0,292048,0
H5,2018,2018,2018,2,0,1,Import,32,Argentina,ARG,276,Germany,DEU,01,Animals; live,1,No Quantity,0,0,242968,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,276,Germany,DEU,01,Animals; live,1,No Quantity,0,0,617932,0
H5,2018,2018,2018,2,0,1,Import,32,Argentina,ARG,348,Hungary,HUN,01,Animals; live,1,No Quantity,0,0,8500,0
H5,2018,2018,2018,2,0,1,Import,32,Argentina,ARG,372,Ireland,IRL,01,Animals; live,1,No Quantity,0,0,11366,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,372,Ireland,IRL,01,Animals; live,1,No Quantity,0,0,211690,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,381,Italy,ITA,01,Animals; live,1,No Quantity,0,0,373010,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,392,Japan,JPN,01,Animals; live,1,No Quantity,0,0,1656700,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,442,Luxembourg,LUX,01,Animals; live,1,No Quantity,0,0,266500,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,458,Malaysia,MYS,01,Animals; live,1,No Quantity,0,0,907835,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,484,Mexico,MEX,01,Animals; live,1,No Quantity,0,0,287114,0
H5,2018,2018,2018,2,0,1,Import,32,Argentina,ARG,528,Netherlands,NLD,01,Animals; live,1,No Quantity,0,0,142645,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,528,Netherlands,NLD,01,Animals; live,1,No Quantity,0,0,742050,0
H5,2018,2018,2018,2,0,1,Import,32,Argentina,ARG,554,New Zealand,NZL,01,Animals; live,1,No Quantity,0,0,56570,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,554,New Zealand,NZL,01,Animals; live,1,No Quantity,0,0,3600,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,586,Pakistan,PAK,01,Animals; live,1,No Quantity,0,0,64000,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,591,Panama,PAN,01,Animals; live,1,No Quantity,0,0,36072,0
H5,2018,2018,2018,2,0,1,Import,32,Argentina,ARG,600,Paraguay,PRY,01,Animals; live,1,No Quantity,0,0,14544,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,600,Paraguay,PRY,01,Animals; live,1,No Quantity,0,0,949300,0
H5,2018,2018,2018,2,0,1,Import,32,Argentina,ARG,604,Peru,PER,01,Animals; live,1,No Quantity,0,0,65751,0
H5,2018,2018,2018,2,0,2,Export,32,Argentina,ARG,604,Peru,PER,01,Animals; live,1,No Quantity,0,0,931886,0
H5,2018,2018,2018,2,0,1,Import,32,Argentina,ARG,616,Poland,POL,01,Animals; live,1,No Quantity,0,0,21894,0
